Station_ID,Station_Name,Date,Atmospheric_CO2_ppm
115,Ulleungdo-Dokdo,2024-01,430.53
115,Ulleungdo-Dokdo,2024-02,430.31
115,Ulleungdo-Dokdo,2024-03,431.34
115,Ulleungdo-Dokdo,2024-04,432.13
115,Ulleungdo-Dokdo,2024-05,428.83
115,Ulleungdo-Dokdo,2024-06,427.80
115,Ulleungdo-Dokdo,2024-07,427.49
115,Ulleungdo-Dokdo,2024-08,420.65
115,Ulleungdo-Dokdo,2024-09,420.29
115,Ulleungdo-Dokdo,2024-10,427.94
115,Ulleungdo-Dokdo,2024-11,430.88
115,Ulleungdo-Dokdo,2024-12,431.27
132,Anmyeondo,2024-01,434.84
132,Anmyeondo,2024-02,433.58
132,Anmyeondo,2024-03,434.40
132,Anmyeondo,2024-04,435.25
132,Anmyeondo,2024-05,431.39
132,Anmyeondo,2024-06,428.41
132,Anmyeondo,2024-07,427.16
132,Anmyeondo,2024-08,423.43
132,Anmyeondo,2024-09,424.74
132,Anmyeondo,2024-10,431.17
132,Anmyeondo,2024-11,433.45
132,Anmyeondo,2024-12,434.39
185,Gosan,2024-01,431.75
185,Gosan,2024-02,431.19
185,Gosan,2024-03,432.57
185,Gosan,2024-04,433.89
185,Gosan,2024-05,430.34
185,Gosan,2024-06,426.90
185,Gosan,2024-07,426.08
185,Gosan,2024-08,423.90
185,Gosan,2024-09,423.29
185,Gosan,2024-10,427.71
185,Gosan,2024-11,431.53
185,Gosan,2024-12,432.31
