tmfc,lat,lon,t2m,psl
2026022200,-86.2688,-33.5118,,
2026022200,-64.6126,42.0139,,
2026022200,-54.0322,-5.2539,,
2026022200,5.1246,52.1926,,
2026022200,13.2765,41.4556,,
2026022200,-5.5405,85.1267,,
2026022200,-58.5763,-136.9324,,
2026022200,-24.1594,-4.302,,
2026022200,-18.1106,117.4825,,
2026022200,-16.6171,-112.267,,
2026022200,28.0551,19.3057,,
2026022200,44.1569,135.0991,,
2026022200,5.8506,-122.1354,,
2026022200,-33.0951,41.8577,,
2026022200,-59.3714,48.3341,,
2026022200,-27.96,-141.9073,,
2026022200,-15.959,153.1564,,
2026022200,-22.033,78.5401,,
2026022200,-31.4523,-53.7227,,
2026022200,-18.6762,-118.4332,,
2026022200,50.7558,105.1937,,
2026022200,31.9164,-35.7934,,
2026022200,-48.2179,36.1501,,
2026022200,7.8201,-81.1665,,
2026022200,45.8533,-74.4682,,
2026022200,16.1661,-155.5425,,
2026022200,-50.292,-48.3178,,
2026022200,28.27,-67.9019,,
2026022200,-65.4372,43.6317,,
2026022200,-37.5112,-114.6647,,
2026022600,-86.2688,-33.5118,236.09,98867.8
2026022600,-64.6126,42.0139,273.941,99346.0
2026022600,-54.0322,-5.2539,274.715,99370.0
2026022600,5.1246,52.1926,299.808,101042.0
2026022600,13.2765,41.4556,297.11,101112.0
2026022600,-5.5405,85.1267,300.749,100922.0
2026022600,-58.5763,-136.9324,276.047,99753.3
2026022600,-24.1594,-4.302,297.093,101760.0
2026022600,-18.1106,117.4825,302.092,100599.0
2026022600,-16.6171,-112.267,298.496,101202.0
2026022600,28.0551,19.3057,284.379,102319.0
2026022600,44.1569,135.0991,267.793,102541.0
2026022600,5.8506,-122.1354,300.028,100789.0
2026022600,-33.0951,41.8577,296.239,101021.0
2026022600,-59.3714,48.3341,274.463,100516.0
2026022600,-27.96,-141.9073,299.628,101487.0
2026022600,-15.959,153.1564,300.552,100367.0
2026022600,-22.033,78.5401,297.634,101450.0
